column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
arc-agi-2/8698868d_0,20,6,0.23076923076923078,0.07999999999999999,0.2135415650406262,0.0,0.0,0.0,0.0,0.8,identity,0.0,0.2135415650406262,0,0
arc-agi-2/88bcf3b4_0,20,6,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
arc-agi-2/88e364bc_0,19,7,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
arc-agi-2/8b7bacbf_0,20,6,0.23076923076923078,0.02,0.08717797887081348,0.0,0.0,0.0,0.0,0.4,identity,0.0,0.08717797887081348,0,0
arc-agi-2/8e5c0c38_0,20,6,0.23076923076923078,0.15,0.2819574435974337,0.0,0.0,0.1,0.0,1.0,identity,0.0,0.1,0,0
arc-agi-2/8e5c0c38_1,20,6,0.23076923076923078,0.22000000000000003,0.38935844667863573,0.0,0.0,0.15,0.0,1.0,identity,0.0,0.15,0,0
arc-agi-2/8f215267_0,20,6,0.23076923076923078,0.20999999999999996,0.38196858509568554,0.0,0.0,0.1,0.0,1.0,identity,0.0,0.1,0,0
arc-agi-2/8f3a5a89_0,20,6,0.23076923076923078,0.21000000000000002,0.3766961640367472,0.0,0.0,0.15,0.0,1.0,identity,0.0,0.15,0,0
arc-agi-2/97d7923e_0,20,6,0.23076923076923078,0.16,0.33226495451672294,0.0,0.0,0.05,0.0,1.0,identity,0.0,0.05,0,0
arc-agi-2/981571dc_0,20,6,0.23076923076923078,0.25,0.4141255848169731,0.0,0.0,0.35000000000000003,0.0,1.0,identity,0.0,0.35000000000000003,0,0
arc-agi-2/a25697e4_0,20,6,0.23076923076923078,0.030000000000000006,0.09539392014169458,0.0,0.0,0.0,0.0,0.4,identity,0.0,0.09539392014169458,0,0
arc-agi-2/a25697e4_1,19,7,0.2692307692307692,0.08421052631578947,0.2367836185095156,0.0,0.0,0.0,0.0,1.0,identity,0.0,0.2367836185095156,0,0
arc-agi-2/a32d8b75_0,20,6,0.23076923076923078,0.01,0.04358898943540674,0.0,0.0,0.0,0.0,0.2,identity,0.0,0.04358898943540674,0,0
arc-agi-2/a32d8b75_1,20,6,0.23076923076923078,0.05,0.1396424004376894,0.0,0.0,0.0,0.0,0.6,identity,0.0,0.1396424004376894,0,0
arc-agi-2/a47bf94d_0,20,6,0.23076923076923078,0.06000000000000001,0.19078784028338916,0.0,0.0,0.0,0.0,0.8,identity,0.0,0.19078784028338916,0,0
arc-agi-2/a6f40cea_0,19,7,0.2692307692307692,0.12631578947368424,0.26919393373777734,0.0,0.0,0.0,0.0,0.8,identity,0.0,0.26919393373777734,0,0
arc-agi-2/b0039139_0,20,6,0.23076923076923078,0.13999999999999999,0.2973213749463701,0.0,0.0,0.0,0.0,1.0,identity,0.0,0.2973213749463701,0,0
arc-agi-2/b0039139_1,20,6,0.23076923076923078,0.13,0.2917190429162964,0.0,0.0,0.0,0.0,1.0,identity,0.0,0.2917190429162964,0,0
