component,r2,partial_r2_over_other_main_effects,type
model:benchmark,0.6720358402057534,0.42610942780221955,interaction_increment
all_main_effects,0.2459264124035338,0.2459264124035338,combined
benchmark,0.19630569143352095,0.19630569143351884,main_effect
agent:benchmark,0.3353050419431648,0.089378629539631,interaction_increment
model,0.048082595367821335,0.04275575152464495,main_effect
model:agent,0.255110582583732,0.009184170180198181,interaction_increment
agent,0.006864969445368407,0.0015381256021921863,main_effect
