task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count
aime/aime_60,aime,aime_60,20,6,0.23076923076923078,0.92333335,0.19919279410216506,0.2,1.0,0.9410256538461539,-0.296066664558149,0.8919234329187371,0.22306470866670342,easy,0,0
aime/aime_61,aime,aime_61,19,7,0.2692307692307692,0.7526315789473685,0.32503995066620023,0.0,1.0,0.8192307692307692,-0.32867132867132864,0.5431635588568219,0.37241952239777265,easy,0,0
aime/aime_62,aime,aime_62,20,6,0.23076923076923078,0.6824999999999999,0.36785696948678304,0.0,1.0,0.7326923076923078,-0.2624434389140272,0.5261076976515331,0.4906480473765156,easy,0,0
aime/aime_63,aime,aime_63,19,7,0.2692307692307692,0.3964912105263158,0.32478418489669153,0.0,1.0,0.39743588461538465,-0.0051282307692307886,0.5552925143227395,0.6591660392298649,medium,0,0
aime/aime_64,aime,aime_64,20,6,0.23076923076923078,0.8375,0.27967615200442103,0.0,1.0,0.875,-0.6250000000000001,1.2733397939156819,0.42426452551743055,easy,0,0
aime/aime_65,aime,aime_65,20,6,0.23076923076923078,0.74,0.2956349099818897,0.0,1.0,0.7769230769230769,-0.2461538461538462,0.5358176851467077,0.2790381624149395,easy,0,0
aime/aime_66,aime,aime_66,20,6,0.23076923076923078,0.89,0.1609347693943108,0.6,1.0,0.9153846153846155,-0.42307692307692313,0.7428156890703066,0.2785010977650342,easy,0,0
aime/aime_67,aime,aime_67,19,7,0.2692307692307692,0.8947368421052632,0.2625255560703142,0.0,1.0,0.9230769230769231,-0.2930117664524594,0.8731553985876537,0.17170567817525298,easy,0,0
aime/aime_68,aime,aime_68,19,7,0.2692307692307692,0.9298245789473685,0.1551813343717654,0.4,1.0,0.9487179615384616,-0.3304652500195862,0.8780680454062932,0.23114348415742947,easy,0,0
aime/aime_69,aime,aime_69,19,7,0.2692307692307692,0.8842105263157896,0.24551376399348634,0.0,1.0,0.9153846153846152,-0.8461538461538463,2.160703370028945,0.2636224080839346,easy,0,0
aime/aime_70,aime,aime_70,20,6,0.23076923076923078,0.775,0.36038174204584783,0.0,1.0,0.8269230769230769,-0.4326923076923077,0.8249641376462173,0.24566756840107118,easy,0,0
aime/aime_71,aime,aime_71,20,6,0.23076923076923078,0.8700000000000001,0.2027313493271329,0.2,1.0,0.9000000000000001,-0.5000000000000001,0.9302605094190636,0.0918397746613959,easy,0,0
aime/aime_72,aime,aime_72,19,7,0.2692307692307692,0.9789473684210527,0.061378440998371565,0.8,1.0,0.9846153846153847,-0.25065177828520524,0.8682832299949298,0.48412346753477836,saturated,0,0
aime/aime_73,aime,aime_73,19,7,0.2692307692307692,0.6236842105263158,0.33260076472861716,0.0,1.0,0.6576923076923078,-0.1846153846153846,0.5795836089498336,0.49444312912719346,medium,0,0
aime/aime_74,aime,aime_74,20,6,0.23076923076923078,0.6849999999999999,0.3940494892776794,0.0,1.0,0.7576923076923078,-0.3727810650887575,0.569555443826421,0.1993381321992019,easy,0,0
aime/aime_75,aime,aime_75,20,6,0.23076923076923078,0.95,0.1396424004376894,0.4,1.0,0.9615384615384616,-0.27542879770747414,0.889937680971395,0.355282988872078,saturated,0,0
aime/aime_76,aime,aime_76,19,7,0.2692307692307692,0.8078947368421052,0.2939133231945203,0.0,1.0,0.8596153846153846,-0.4319526627218936,0.8163321844420353,0.36045924944887625,easy,0,0
aime/aime_77,aime,aime_77,19,7,0.2692307692307692,0.8350876842105264,0.276459230048017,0.2,1.0,0.879487153846154,-0.6025642307692309,1.2369638619058145,0.2962146556188571,easy,0,0
