method,rank,holdout_cells,rmse,mae
column_median,0,4325,13.196282784969425,0.7387658390351474
row_mean_shrunk,0,4325,13.155856202602246,0.7557241940995962
iterative_svd,2,4325,10.268714980482251,0.8057427998715226
two_way_shrunk,0,4325,14.48730666038064,1.0679383698761897
