task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count,is_bounded_score_task,is_reliable_observed_task,is_discriminative_task,is_mix_candidate_pool,mix_selection_score
featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_pixtral.a620bb0b.lv2,featurebench-modal,huggingface__transformers.e2e8dbed.test_modeling_pixtral.a620bb0b.lv2,26,0,0.0,0.0384615384615384,0.1332346775052982,0.0,0.5,0.0384615384615384,0.2886751345948128,1.0,0.1386965276189989,frontier,0,0,True,True,True,False,0.32193120512429707
seal0/29,seal0,29,26,0,0.0,0.0326923076923076,0.0950124563618125,0.0,0.4,0.0326923076923076,0.3440844384426147,1.0,0.1179018433569233,frontier,0,0,True,True,True,False,0.2629142997187358
seal0/109,seal0,109,26,0,0.0,0.0288461538461538,0.1057692307692307,0.0,0.5,0.0288461538461538,0.2727272727272728,1.0000000000000002,0.1157585031236665,frontier,0,0,True,True,True,False,0.2715277338928972
seal0/107,seal0,107,26,0,0.0,0.0307692307692307,0.0910166120476864,0.0,0.4,0.0307692307692307,0.3380617018914066,1.0,0.1109121503787257,frontier,0,0,True,True,True,False,0.2519287624264121
featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_mimi.3118abde.lv1,featurebench-modal,huggingface__transformers.e2e8dbed.test_modeling_mimi.3118abde.lv1,26,0,0.0,0.0192307692307692,0.0961538461538461,0.0,0.5,0.0192307692307692,0.2,1.0,0.0914477015492415,frontier,0,0,True,True,False,False,0.2376015477030876
featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_colpali.370cfbdd.lv1,featurebench-modal,huggingface__transformers.e2e8dbed.test_modeling_colpali.370cfbdd.lv1,26,0,0.0,0.0192307692307692,0.0961538461538461,0.0,0.5,0.0192307692307692,0.2,1.0,0.0899061248741357,frontier,0,0,True,True,False,False,0.23605997102798182
bfcl/bfcl-parallel-19,bfcl,bfcl-parallel-19,26,0,0.0,0.0307692307692307,0.1201576873216408,0.0,0.6,0.0307692307692307,0.2560737598657919,1.0,0.0601235489936955,frontier,0,0,True,True,False,False,0.2302812363153363
seal0/63,seal0,63,26,0,0.0,0.0076923076923076,0.0384615384615384,0.0,0.2,0.0076923076923076,0.2,1.0,0.0413569742264964,frontier,0,0,True,True,False,False,0.1298185126880348
featurebench-modal/sphinx-doc__sphinx.e347e59c.test_build_linkcheck.20428c8f.lv1,featurebench-modal,sphinx-doc__sphinx.e347e59c.test_build_linkcheck.20428c8f.lv1,26,0,0.0,0.0461538461538461,0.1176068065493896,0.0,0.5,0.0461538461538461,0.3924419641006372,1.0,-0.0177000016496096,frontier,0,0,True,True,False,False,0.1676068065493896
seal0/21,seal0,21,26,0,0.0,0.0435897307692307,0.1332593204341871,0.0,0.6,0.0435897307692307,0.3271045554427726,1.0,-0.026148560056383,frontier,0,0,True,True,False,False,0.18325932043418708
seal0/85,seal0,85,26,0,0.0,0.0326923076923076,0.0950124563618125,0.0,0.4,0.0326923076923076,0.3440844384426147,1.0000000000000002,-0.0559096720852952,frontier,0,0,True,True,False,False,0.1450124563618125
seal0/26,seal0,26,26,0,0.0,0.0173076923076923,0.0603552108710585,0.0,0.25,0.0173076923076923,0.2867638445447247,1.0,-0.0667464179366908,frontier,0,0,True,True,False,False,0.11035521087105851
seal0/25,seal0,25,26,0,0.0,0.025,0.0890656628993031,0.0,0.4,0.025,0.2806917861068949,1.0,-0.0827755959442181,frontier,0,0,True,True,False,False,0.1390656628993031
